Language,Original purpose,Imperative,Object-oriented,Functional,Procedural,Generic,Reflective,Other paradigms,Standardized
1C:Enterprise programming language,"Application, RAD, business, general, web, mobile",Yes,No,Yes,Yes,Yes,Yes,"Object-based, Prototype-based programming",No
ActionScript,"Application, client-side, web",Yes,Yes,Yes,Yes,No,No,prototype-based,"Yes1999-2003, ActionScript 1.0 with ES3, ActionScript 2.0 with ES3 and partial ES4 draft, ActionScript 3.0 with ES4 draft, ActionScript 3.0 with E4X"
Ada,"Application, embedded, realtime, system",Yes,Yes,No,Yes,Yes,No,"Concurrent, distributed","Yes1983, 2005, 2012, ANSI, ISO, GOST 27831-88"
Aldor,"Highly domain-specific, symbolic computing",Yes,Yes,Yes,No,No,No,No,
ALGOL 58,Application,Yes,No,No,No,No,No,No,
ALGOL 60,Application,Yes,No,No,Yes,Yes,No,"Yes1960, IFIP WG 2.1, ISO",
ALGOL 68,Application,Yes,No,Yes,Yes,Yes,No,Concurrent,"Yes1968, IFIP WG 2.1, GOST 27974-88,"
Ateji PX,Parallel application,No,Yes,No,No,No,No,pi calculus,No
APL,"Application, data processing",Yes,Yes,Yes,Yes,Yes,Yes,"Array-oriented, tacit","Yes1989, ISO"
Assembly language,General,Yes,No,No,No,No,No,"Any, syntax is usually highly specific, related to the target processor",Yes1985 IEEE 694-1985
AutoHotkey,"GUI automation (macros), highly domain-specific",Yes,Yes,No,Yes,No,No,No,
AutoIt,"GUI automation (macros), highly domain-specific",Yes,No,No,Yes,No,No,No,
Ballerina,"Integration, agile, server-side, general",Yes,Yes,Yes,Yes,No,No,"Concurrent, transactional, statically and strongly typed, diagrammatic–visual",De factostandard via Ballerina Language Specification
Bash,"Shell, scripting",Yes,No,No,Yes,No,No,OptionallyPOSIX.2,
BASIC,"Application, education",Yes,No,No,Yes,No,No,"Yes1983, ANSI, ISO, ECMA",
BeanShell,"Application, scripting",Yes,Yes,Yes,No,No,Yes,"NoIn progress, JCP",
BLISS,System,No,No,No,Yes,No,No,No,
BlitzMax,"Application, game",Yes,Yes,No,Yes,No,Yes,No,
Boo,"Application, game scripting",No,Yes,No,No,No,No,No,
C,"Application, system, general purpose, low-level operations",Yes,No,No,Yes,No,No,"Yes1989, ANSI C89, ISO/IEC C90, ISO/IEC C95, ISO/IEC C99, ISO/IEC C11, ISO/IEC C17, ISO/IEC C2x",
C++,"Application, system",Yes,Yes,Yes,Yes,Yes,Yes,Concurrent,"Yes1998, ISO/IEC C++98, ISO/IEC C++03, ISO/IEC C++11, ISO/IEC C++14, ISO/IEC C++17, ISO/IEC C++20, ISO/IEC C++23, ISO/IEC C++26"
C#,"Application, RAD, business, client-side, general, server-side, web, game programming",Yes,Yes,Yes,Yes,Yes,Yes,"Concurrent, structured","Yes2000, ECMA, ISO"
Carbon,"Experimental successor language to C++, designed by Google for performance-critical software",Yes,Yes,Yes,Yes,Yes,No,Multi-paradigm,No
Clarion,"General, business, web",Yes,Yes,Yes,No,No,No,Unknown,
Clean,General,No,No,Yes,No,Yes,No,No,
Clojure,General,No,No,Yes,No,No,No,Concurrent,No
CLU,General,Yes,Yes,No,Yes,Yes,No,No,
COBOL,"Application, business",Yes,Yes,No,Yes,No,No,"Yes1968 ANSI X3.23, 1974, 1985; ISO/IEC 1989:1985, 2002, 2014, 2023",
Cobra,"Application, business, general, web",Yes,Yes,Yes,No,Yes,Yes,No,
ColdFusion (CFML),Web,No,Yes,No,Yes,No,No,No,
Common Lisp,General,Yes,Yes,Yes,Yes,Yes,Yes,"Extensible syntax, Array-oriented, syntactic macros, multiple dispatch, concurrent","Yes1994, ANSI"
COMAL 80,Education,Yes,No,No,Yes,No,No,No,
Crystal,General purpose,Yes,Yes,Yes,Yes,Yes,No,Concurrent,No
Curry,Application,No,No,Yes,No,Yes,No,"lazy evaluation, non-determinism",De factostandard via Curry Language Report
Cython,"Application, general, numerical computing",Yes,Yes,Yes,No,No,Yes,Aspect-oriented,No
D,"Application, system",Yes,Yes,Yes,Yes,Yes,Yes,"Generative, concurrent",No
Dart,"Application, web, server-side, mobile, IoT",Yes,Yes,Yes,Yes,Yes,No,Structured,YesECMA-408 standard
"Delphi, Object Pascal",General purpose,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,
Dylan,Application,No,Yes,Yes,No,No,No,No,
Eiffel,"General, application, business, client-side, server-side, web (EWF)",Yes,Yes,Yes,No,Yes,Yes Erl-G,"Distributed SCOOP, Void-safe","Yes2005, ECMA, ISO"
ELAN,Education,Yes,No,No,Yes,No,No,"Structured, stepwise refinement",No
Elixir,"Application, distributed",No,No,Yes,No,No,Yes,"Concurrent, distributed",No
Erlang,"Application, distributed",No,No,Yes,No,No,Yes,"Concurrent, distributed",No
Euphoria,Application,No,No,No,Yes,No,Yes,No,
Factor,General,Yes,No,Can be viewed as,No,Yes,Yes,Stack-oriented,No
FP,No,No,Yes,No,No,No,No,,
F#,Application,Yes,Yes,Yes,Yes,Yes,Yes,No,
Forth,General,Yes,No,No,Yes,No,Yes,Stack-oriented,"Yes1994, ANSI"
Fortran,"Application, numerical computing",Yes,Yes,Yes,Yes,Yes,No,"Array-based, vectorized, concurrent, native distributed/shared-memory parallelism","Yes1966, ANSI 66, ANSI 77, MIL-STD-1753, ISO 90, ISO 95, ISO 2003, ISO/IEC 1539-1:2010 (2008), ISO/IEC JTC1/SC22/WG5 N2145 (2018)"
FreeBASIC,"Application, numerical computing",Yes,Yes,No,Yes,Yes,No,No,
Gambas,Application,Yes,Yes,No,No,No,No,No,
Game Maker Language,"Application, game programming",Yes,Yes,No,No,No,No,No,
GLBasic,"Application, games",Yes,Yes,No,Yes,No,No,Simple object-oriented,No
