section,year,field,value
monthly,2024,July,25
monthly,2024,September,20
monthly,2024,November,19
monthly,2024,January,17
monthly,2024,June,17
monthly,2024,August,17
monthly,2024,March,16
monthly,2024,December,16
monthly,2024,February,14
monthly,2024,October,14
monthly,2024,May,13
monthly,2024,April,11
monthly,2025,July,18
monthly,2025,May,15
monthly,2025,June,15
monthly,2025,March,13
monthly,2025,January,11
monthly,2025,September,11
monthly,2025,February,9
monthly,2025,August,6
monthly,2025,October,6
monthly,2025,April,5
closure,2024,Closed,70
closure,2024,Open,129
