Year,Age,CriminalHistory
2024,16,None
2024,31,
2024,36,
2024,30,None
2024,39,None
2024,33,None
2024,28,None
2024,30,None
2024,32,None
2024,39,None
2024,60,None
2024,6,None
2024,68,None
2024,20,None
2024,34,None
2024,36,
2024,46,
2024,25,None
2024,25,None
2024,55,None
2024,32,
2024,40,
2024,30,
2024,38,None
2024,45,
2024,69,None
2024,1,None
2024,20,None
2024,19,None
2024,34,None
2024,38,None
2024,16,None
2024,55,
2024,35,None
2024,62,None
2024,21,None
2024,29,None
2024,41,
2024,24,None
2024,42,
2024,58,None
2024,33,None
2024,49,None
2024,26,None
2024,35,None
2024,34,
2024,18,None
2024,21,None
2024,28,None
2024,17,None
2024,22,
2024,31,None
2024,38,None
2024,27,None
2024,23,
2024,37,
2024,30,None
2024,77,None
2024,23,
2024,43,
2024,25,None
2024,33,
2024,33,None
2024,40,None
2024,42,None
2024,26,
2024,33,
2024,39,
2024,17,None
2024,41,None
2024,24,None
2024,55,None
2024,34,
2024,32,None
2024,31,
2024,31,None
2024,37,Not checked yet
2024,17,None
2024,19,None
2024,24,None
2024,39,None
2024,46,None
2024,19,
2024,42,None
2024,20,None
2024,59,
2024,24,None
2024,38,None
2024,28,None
2024,30,None
2024,, 
2024,26,
2024,31,
2024,33,None
2024,47,None
2024,35,None
2024,19,None
2024,21,
2024,21,
2024,14,None
2024,38,None
2024,27,None
2024,20,
2024,18,None
2024,43,None
2024,12,None
2024,30,None
2024,14,None
2024,36,
2024,32,
2024,32,
2024,31,
2024,42,
2024,38,
2024,56,
2024,,None
2024,25,None
2024,44,None
2024,42,None
2024,29,None
2024,25,None
2024,31,
2024,38,
2024,56,
2024,,None
2024,29,None
2024,25,None
2024,44,None
2024,42,None
2024,18,None
2024,64,None
2024,29,None
2024,25,None
2024,31,
2024,38,
2024,56,
2024,,None
2024,25,None
2024,44,None
2024,42,None
2024,18,None
2024,64,None
2024,29,None
2024,25,None
2024,31,
2024,38,
2024,56,
2024,,None
2024,25,None
2024,44,None
2024,42,None
2024,18,None
2024,64,None
2024,29,None
2024,25,None
2024,31,
2024,38,
2024,56,
2024,,None
2024,25,None
2024,44,None
2024,42,None
2024,18,None
2024,64,None
2024,29,None
2024,25,None
2024,31,
2024,38,
2024,56,
2024,,None
2024,25,None
2024,44,None
2024,42,None
2024,18,None
2024,64,None
2024,29,None
2024,25,None
2024,31,
2024,38,
2024,56,
2024,,None
2024,25,None
2024,44,None
2024,42,None
2024,18,None
2024,64,None
2024,29,None
2024,25,None
2024,31,
2024,38,
2024,56,
2024,,None
2024,25,None
2024,44,None
2024,42,None
2024,18,None
2024,64,None
2024,29,None
2024,25,None
2024,31,
2024,38,
2024,56,
2024,,None
2024,25,None
2024,44,None
2024,42,None
2024,18,None
2024,64,None
2024,29,None
2024,25,None
2024,31,
2024,38,
2024,56,
2024,,None
2024,25,None
2024,44,None
2024,42,None
2024,18,None
2024,64,None
2024,29,None
2024,25,None
2024,31,
2024,38,
2024,56,
2024,,None
2024,25,None
2024,44,None
2024,42,None
2024,18,None
2024,64,None
2024,29,None
2024,25,None
2024,31,
2024,38,
2024,56,
2024,,None
2024,25,None
2024,44,None
2024,42,None
2024,18,None
2024,64,None
2024,29,None
2024,25,None
2024,31,
2024,38,
2024,56,
2024,,None
2024,25,None
2024,44,None
2024,42,None
2024,18,None
2024,64,None
2024,29,None
2024,25,None
2024,31,
2024,38,
2024,56,
2024,,None
2024,25,None
2024,44,None
2024,42,None
2024,18,None
2024,64,None
2024,29,None
2024,25,None
2024,31,
2024,38,
2024,56,
2024,,None
