Question,Year,Age,History
College-aged,2024,20,None
College-aged,2024,20,None
College-aged,2024,19,None
College-aged,2024,21,None
College-aged,2024,18,None
College-aged,2024,21,None
College-aged,2024,19,None
College-aged,2024,20,None
College-aged,2024,19,None
College-aged,2024,18,None
College-aged,2024,18,None
College-aged,2024,18,None
College-aged,2024,18,None
College-aged,2024,18,None
College-aged,2024,18,None
College-aged,2024,18,None
College-aged,2024,18,None
College-aged,2024,18,None
College-aged,2024,18,None
College-aged,2024,18,None
College-aged,2024,18,None
College-aged,2024,18,None
College-aged,2024,18,None
No criminal history,2024,16,None
No criminal history,2024,30,None
No criminal history,2024,39,None
No criminal history,2024,33,None
No criminal history,2024,28,None
No criminal history,2024,30,None
No criminal history,2024,32,None
No criminal history,2024,39,None
No criminal history,2024,60,None
No criminal history,2024,6,None
No criminal history,2024,68,None
No criminal history,2024,20,None
No criminal history,2024,34,None
No criminal history,2024,25,None
No criminal history,2024,25,None
No criminal history,2024,55,None
No criminal history,2024,38,None
No criminal history,2024,69,None
No criminal history,2024,1,None
No criminal history,2024,20,None
No criminal history,2024,19,None
No criminal history,2024,34,None
No criminal history,2024,38,None
No criminal history,2024,16,None
No criminal history,2024,35,None
No criminal history,2024,62,None
No criminal history,2024,21,None
No criminal history,2024,29,None
No criminal history,2024,24,None
No criminal history,2024,58,None
No criminal history,2024,33,None
No criminal history,2024,49,None
No criminal history,2024,26,None
No criminal history,2024,35,None
No criminal history,2024,18,None
No criminal history,2024,21,None
No criminal history,2024,28,None
No criminal history,2024,17,None
No criminal history,2024,31,None
No criminal history,2024,38,None
No criminal history,2024,27,None
No criminal history,2024,30,None
No criminal history,2024,77,None
No criminal history,2024,25,None
No criminal history,2024,33,None
No criminal history,2024,40,None
No criminal history,2024,42,None
No criminal history,2024,17,None
No criminal history,2024,41,None
No criminal history,2024,24,None
No criminal history,2024,55,None
No criminal history,2024,32,None
No criminal history,2024,31,None
No criminal history,2024,17,None
No criminal history,2024,19,None
No criminal history,2024,24,None
No criminal history,2024,39,None
No criminal history,2024,46,None
No criminal history,2024,42,None
No criminal history,2024,20,None
No criminal history,2024,24,None
No criminal history,2024,38,None
No criminal history,2024,28,None
No criminal history,2024,30,None
No criminal history,2024,33,None
No criminal history,2024,47,None
No criminal history,2024,35,None
No criminal history,2024,19,None
No criminal history,2024,14,None
No criminal history,2024,38,None
No criminal history,2024,27,None
No criminal history,2024,18,None
No criminal history,2024,43,None
No criminal history,2024,12,None
No criminal history,2024,30,None
No criminal history,2024,14,None
No criminal history,2024,25,None
No criminal history,2024,44,None
No criminal history,2024,42,None
No criminal history,2024,29,None
No criminal history,2024,25,None
No criminal history,2024,29,None
No criminal history,2024,25,None
No criminal history,2024,44,None
No criminal history,2024,42,None
No criminal history,2024,18,None
No criminal history,2024,64,None
No criminal history,2024,29,None
No criminal history,2024,25,None
No criminal history,2024,25,None
No criminal history,2024,44,None
No criminal history,2024,42,None
No criminal history,2024,18,None
No criminal history,2024,64,None
No criminal history,2024,29,None
No criminal history,2024,25,None
No criminal history,2024,25,None
No criminal history,2024,44,None
No criminal history,2024,42,None
No criminal history,2024,18,None
No criminal history,2024,64,None
No criminal history,2024,29,None
No criminal history,2024,25,None
No criminal history,2024,25,None
No criminal history,2024,44,None
No criminal history,2024,42,None
No criminal history,2024,18,None
No criminal history,2024,64,None
No criminal history,2024,29,None
No criminal history,2024,25,None
No criminal history,2024,25,None
No criminal history,2024,44,None
No criminal history,2024,42,None
No criminal history,2024,18,None
No criminal history,2024,64,None
No criminal history,2024,29,None
No criminal history,2024,25,None
No criminal history,2024,25,None
No criminal history,2024,44,None
No criminal history,2024,42,None
No criminal history,2024,18,None
No criminal history,2024,64,None
No criminal history,2024,29,None
No criminal history,2024,25,None
No criminal history,2024,25,None
No criminal history,2024,44,None
No criminal history,2024,42,None
No criminal history,2024,18,None
No criminal history,2024,64,None
No criminal history,2024,29,None
No criminal history,2024,25,None
No criminal history,2024,25,None
No criminal history,2024,44,None
No criminal history,2024,42,None
No criminal history,2024,18,None
No criminal history,2024,64,None
No criminal history,2024,29,None
No criminal history,2024,25,None
No criminal history,2024,25,None
No criminal history,2024,44,None
No criminal history,2024,42,None
No criminal history,2024,18,None
No criminal history,2024,64,None
No criminal history,2024,29,None
No criminal history,2024,25,None
No criminal history,2024,25,None
No criminal history,2024,44,None
No criminal history,2024,42,None
No criminal history,2024,18,None
No criminal history,2024,64,None
No criminal history,2024,29,None
No criminal history,2024,25,None
No criminal history,2024,25,None
No criminal history,2024,44,None
No criminal history,2024,42,None
No criminal history,2024,18,None
No criminal history,2024,64,None
No criminal history,2024,29,None
No criminal history,2024,25,None
No criminal history,2024,25,None
No criminal history,2024,44,None
No criminal history,2024,42,None
No criminal history,2024,18,None
No criminal history,2024,64,None
No criminal history,2024,29,None
No criminal history,2024,25,None
No criminal history,2024,25,None
No criminal history,2024,44,None
No criminal history,2024,42,None
No criminal history,2024,18,None
No criminal history,2024,64,None
No criminal history,2024,29,None
No criminal history,2024,25,None
