Language,Original purpose,"<a href=""/wiki/Imperative_programming"" title=""Imperative programming"">Imperative</a>","<a href=""/wiki/Object-oriented_programming"" title=""Object-oriented programming"">Object-oriented</a>","<a href=""/wiki/Functional_programming"" title=""Functional programming"">Functional</a>","<a href=""/wiki/Procedural_programming"" title=""Procedural programming"">Procedural</a>","<a href=""/wiki/Generic_programming"" title=""Generic programming"">Generic</a>","<a href=""/wiki/Reflective_programming"" title=""Reflective programming"">Reflective</a>","Other <a href=""/wiki/Programming_paradigm"" title=""Programming paradigm"">paradigms</a>","<a href=""/wiki/Standardization"" title=""Standardization"">Standardized</a>"
"<a href=""/wiki/1C:Enterprise_programming_language"" class=""mw-redirect"" title=""1C:Enterprise programming language"">1C:Enterprise programming language</a>","<a href=""/wiki/Application_software_development"" class=""mw-redirect"" title=""Application software development"">Application</a>, <a href=""/wiki/Rapid_application_development"" title=""Rapid application development"">RAD</a>, business, <a href=""/wiki/General-purpose_programming_language"" title=""General-purpose programming language"">general</a>, <a href=""/wiki/Web_development"" title=""Web development"">web</a>, <a href=""/wiki/Mobile_app_development"" title=""Mobile app development"">mobile</a>",Yes,No,Yes,Yes,Yes,Yes,"<a href=""/wiki/Object-based"" class=""mw-redirect"" title=""Object-based"">Object-based</a>, Prototype-based programming",No
"<a href=""/wiki/ActionScript"" title=""ActionScript"">ActionScript</a>","Application, <a href=""/wiki/Client-side"" class=""mw-redirect"" title=""Client-side"">client-side</a>, web",Yes,Yes,Yes,Yes,No,No,"<a href=""/wiki/Prototype-based"" class=""mw-redirect"" title=""Prototype-based"">prototype-based</a>","Yes<br />1999-2003, <a href=""/wiki/ECMAScript"" title=""ECMAScript"">ActionScript 1.0 with ES3, ActionScript 2.0 with ES3 and partial ES4 draft, ActionScript 3.0 with ES4 draft</a>, <a href=""/wiki/ECMAScript_for_XML"" title=""ECMAScript for XML"">ActionScript 3.0 with E4X</a>"
"<a href=""/wiki/Ada_(programming_language)"" title=""Ada (programming language)"">Ada</a>","Application, <a href=""/wiki/Embedded_system"" title=""Embedded system"">embedded</a>, <a href=""/wiki/Real-time_computing"" title=""Real-time computing"">realtime</a>, <a href=""/wiki/System_programming_language"" title=""System programming language"">system</a>",Yes,"Yes<sup id=""cite_ref-2"" class=""reference""><a href=""#cite_note-2""><span class=""cite-bracket"">&#91;</span>2<span class=""cite-bracket"">&#93;</span></a></sup>",No,"Yes<sup id=""cite_ref-3"" class=""reference""><a href=""#cite_note-3""><span class=""cite-bracket"">&#91;</span>3<span class=""cite-bracket"">&#93;</span></a></sup>","Yes<sup id=""cite_ref-4"" class=""reference""><a href=""#cite_note-4""><span class=""cite-bracket"">&#91;</span>4<span class=""cite-bracket"">&#93;</span></a></sup>",No,"<a href=""/wiki/Concurrent_programming_language"" class=""mw-redirect"" title=""Concurrent programming language"">Concurrent</a>,<sup id=""cite_ref-5"" class=""reference""><a href=""#cite_note-5""><span class=""cite-bracket"">&#91;</span>5<span class=""cite-bracket"">&#93;</span></a></sup> <a href=""/wiki/Distributed_programming"" class=""mw-redirect"" title=""Distributed programming"">distributed</a><sup id=""cite_ref-6"" class=""reference""><a href=""#cite_note-6""><span class=""cite-bracket"">&#91;</span>6<span class=""cite-bracket"">&#93;</span></a></sup>","Yes<br />1983, 2005, 2012, ANSI, ISO, <a href=""/wiki/GOST"" title=""GOST"">GOST</a> 27831-88<sup id=""cite_ref-7"" class=""reference""><a href=""#cite_note-7""><span class=""cite-bracket"">&#91;</span>7<span class=""cite-bracket"">&#93;</span></a></sup>"
"<a href=""/wiki/Aldor"" title=""Aldor"">Aldor</a>","Highly <a href=""/wiki/Domain-specific_language"" title=""Domain-specific language"">domain-specific</a>, <a href=""/wiki/Computer_algebra"" title=""Computer algebra"">symbolic computing</a>",Yes,Yes,Yes,No,No,No,,No
"<a href=""/wiki/ALGOL_58"" title=""ALGOL 58"">ALGOL 58</a>",Application,Yes,No,No,No,No,No,,No
"<a href=""/wiki/ALGOL_60"" title=""ALGOL 60"">ALGOL 60</a>",Application,Yes,No,No,Yes,Yes,No,,"Yes<br />1960, <a href=""/wiki/IFIP_WG_2.1"" class=""mw-redirect"" title=""IFIP WG 2.1"">IFIP WG 2.1</a>, ISO<sup id=""cite_ref-8"" class=""reference""><a href=""#cite_note-8""><span class=""cite-bracket"">&#91;</span>8<span class=""cite-bracket"">&#93;</span></a></sup>"
"<a href=""/wiki/ALGOL_68"" title=""ALGOL 68"">ALGOL 68</a>",Application,Yes,No,Yes,Yes,Yes,No,Concurrent,"Yes<br />1968, <a href=""/wiki/IFIP_WG_2.1"" class=""mw-redirect"" title=""IFIP WG 2.1"">IFIP WG 2.1</a>, <a href=""/wiki/GOST_27974-88"" class=""mw-redirect"" title=""GOST 27974-88"">GOST 27974-88</a>,<sup id=""cite_ref-9"" class=""reference""><a href=""#cite_note-9""><span class=""cite-bracket"">&#91;</span>9<span class=""cite-bracket"">&#93;</span></a></sup>"
"<a href=""/wiki/Ateji_PX"" title=""Ateji PX"">Ateji PX</a>",Parallel application,No,Yes,No,No,No,No,"<a href=""/wiki/Pi_calculus"" class=""mw-redirect"" title=""Pi calculus"">pi calculus</a>",No
"<a href=""/wiki/APL_(programming_language)"" title=""APL (programming language)"">APL</a>","Application, <a href=""/wiki/Data_processing"" title=""Data processing"">data processing</a>",Yes,Yes,Yes,Yes,Yes,Yes,"<a href=""/wiki/Array_programming"" title=""Array programming"">Array-oriented</a>, <a href=""/wiki/Tacit_programming"" title=""Tacit programming"">tacit</a>","Yes<br />1989, ISO"
"<a href=""/wiki/Assembly_language"" title=""Assembly language"">Assembly language</a>",General,Yes,No,No,No,No,No,"Any, syntax is usually highly specific, related to the target processor","Yes<br />1985 IEEE 694-1985<sup id=""cite_ref-10"" class=""reference""><a href=""#cite_note-10""><span class=""cite-bracket"">&#91;</span>10<span class=""cite-bracket"">&#93;</span></a></sup>"
