Websites,Popularity(unique visitors per month)&#91;1&#93;,Front-end(Client-side),Back-end(Server-side),Database
Google&#91;2&#93;,"2,800,000,000","JavaScript, TypeScript","C, C++, Go,&#91;3&#93; Java, Python, Node","Bigtable,&#91;4&#93; MariaDB&#91;5&#93;"
Facebook,"1,120,000,000","JavaScript, TypeScript, Flow","Hack/HHVM, PHP, Python, C++, Java, Erlang, D,&#91;6&#93; Haskell&#91;7&#93;","MariaDB, MySQL,&#91;8&#93; HBase, Cassandra&#91;9&#93;"
YouTube,"1,100,000,000","JavaScript, TypeScript","Python, C, C++, Java,&#91;10&#93; Go&#91;11&#93;","Vitess, BigTable, MariaDB&#91;5&#93;"
Yahoo,"750,000,000",JavaScript,PHP,"PostgreSQL, HBase, Cassandra, MongoDB,&#91;12&#93;"
Etsy,"516,000,000(Total, not unique)&#91;13&#93;",JavaScript,PHP&#91;14&#93;,"MySQL, Redis&#91;15&#93;"
Amazon,"2,400,000,000&#91;16&#93;",JavaScript,"Java, C++, Perl&#91;17&#93;","DynamoDB, RDS/Aurora, Redshift&#91;18&#93;"
Wikipedia,"475,000,000",JavaScript,PHP,MariaDB&#91;19&#93;
Fandom,"315,000,000&#91;20&#93;",JavaScript,PHP,MySQL
X,"290,000,000",JavaScript,"C++, Java,&#91;21&#93; Scala,&#91;22&#93; Ruby (Ruby on Rails)",MySQL&#91;23&#93;
Bing,"285,000,000",JavaScript,"C++, C#","Microsoft SQL Server, Cosmos DB"
eBay,"285,000,000",JavaScript,"Java,&#91;24&#93; JavaScript,&#91;25&#93; Scala&#91;26&#93;",Oracle Database
MSN,"280,000,000",JavaScript,C# (ASP.NET),Microsoft SQL Server
LinkedIn,"260,000,000",JavaScript,"Java, JavaScript,&#91;27&#93; Scala",Venice&#91;28&#93;&#91;29&#93;
Pinterest,"250,000,000",JavaScript,"Python (Django),&#91;30&#93; Erlang, Elixir&#91;31&#93;","MySQL, Redis&#91;32&#93;"
WordPress.com,"240,000,000&#91;33&#93;",JavaScript,PHP&#91;34&#93;,MariaDB&#91;35&#93;
Netflix,"223.090.000 (Subscribers, not visitors)",JavaScript,"Python, Java&#91;36&#93;","NMDB,&#91;37&#93; PostgreSQL"
