"Language","Original purpose","","","","","","","Other",""
"",", , business, , ,","Yes","No","Yes","Yes","Yes","Yes",", Prototype-based programming","No"
"","Application, , web","Yes","Yes","Yes","Yes","No","No","","Yes"
"","Application, , ,","Yes","Yes","No","Yes","Yes","No",",","Yes"
"","Highly ,","Yes","Yes","Yes","No","No","No","","No"
"","Application","Yes","No","No","No","No","No","","No"
"","Application","Yes","No","No","Yes","Yes","No","","Yes"
"","Application","Yes","No","Yes","Yes","Yes","No","Concurrent","Yes"
"","Parallel application","No","Yes","No","No","No","No","","No"
"","Application,","Yes","Yes","Yes","Yes","Yes","Yes",",","Yes"
"","General","Yes","No","No","No","No","No","Any, syntax is usually highly specific, related to the target processor","Yes"
"","GUI automation (), highly domain-specific","Yes","Yes","No","Yes","No","No","","No"
"","GUI automation (macros), highly domain-specific","Yes","No","No","Yes","No","No","","No"
"","Integration, agile, , general","Yes","Yes","Yes","Yes","No","No","Concurrent, transactional, statically and strongly typed, diagrammatic–visual","De facto"
"",",","Yes","No","No","Yes","No","No","","Optionally"
"","Application, education","Yes","No","No","Yes","No","No","","Yes"
"","Application, scripting","Yes","Yes","Yes","No","No","Yes","","No"
"","System","No","No","No","Yes","No","No","","No"
"","Application, game","Yes","Yes","No","Yes","No","Yes","","No"
"","Application, game scripting","No","Yes","No","No","No","No","","No"
"","Application, system, general purpose, low-level operations","Yes","No","No","Yes","No","No","","Yes"
"","Application, system","Yes","Yes","Yes","Yes","Yes","Yes","Concurrent","Yes"
"","Application, RAD, business, client-side, general, server-side, web,","Yes","Yes","Yes","Yes","Yes","Yes","Concurrent, structured","Yes"
"","General, business, web","Yes","Yes","Yes","No","No","No","","Unknown"
"","General","No","No","Yes","No","Yes","No","","No"
"","General","No","No","Yes","No","No","No","Concurrent","No"
"","General","Yes","Yes","No","Yes","Yes","No","","No"
"","Application, business","Yes","Yes","No","Yes","No","No","","Yes"
"","Application, business, general, web","Yes","Yes","Yes","No","Yes","Yes","","No"
"(CFML)","Web","No","Yes","No","Yes","No","No","","No"
"","General","Yes","Yes","Yes","Yes","Yes","Yes","Extensible syntax, , , , concurrent","Yes"
"80","Education","Yes","No","No","Yes","No","No","","No"
"","General purpose","Yes","Yes","Yes","Yes","Yes","No","Concurrent","No"
"","Application","No","No","Yes","No","Yes","No",", non-determinism","De facto"
"","Application, general,","Yes","Yes","Yes","No","No","Yes","","No"
"","Application, system","Yes","Yes","Yes","Yes","Yes","Yes","Generative, concurrent","No"
"","Application, web, server-side, mobile,","Yes","Yes","Yes","Yes","Yes","No","Structured","Yes"
",","General purpose","Yes","Yes","Yes","Yes","Yes","Yes","","Unknown"
"","Application","No","Yes","Yes","No","No","No","","No"
