No.,Title [8],Original release date,English air date
1,"""The Adventure Begins"" (Lief on an Adventurous Journey)Transliteration: ""Rīfu, Bōken no Tabi e"" (Japanese: リーフ冒険の旅へ)","January 6, 2007 (2007-01-06)","October 10, 2010"
2,"""Jasmine, Girl of the Forest"" (Jasmine, Girl of the Forest)Transliteration: ""Mori no Shōjo Jasumin"" (Japanese: 森の少女ジャスミン)","January 13, 2007 (2007-01-13)","October 12, 2010"
3,"""The Golden Knight"" (The Golden Knight Gorl)Transliteration: ""Ōgon no Kishi Gōru"" (Japanese: 黄金の騎士ゴール)","January 20, 2007 (2007-01-20)","October 13, 2010"
4,"""The Enigmatic Giant"" (The Enigmatic Giant's Curse)Transliteration: ""Nazonazo Kyojin no Noroi"" (Japanese: ナゾナゾ巨人の呪い)","January 27, 2007 (2007-01-27)","October 14, 2010"
5,"""Nij and Doj's Trap"" (Nij and Doj's Trap)Transliteration: ""Nij to Doj no Wana"" (Japanese: ニジとドッジのわな)","February 3, 2007 (2007-02-03)","October 15, 2010"
6,"""The Monster in the Lake of Tears"" (The Monster Living in the Lake of Grief)Transliteration: ""Nageki no Mizuumi ni Sumu Kaibutsu"" (Japanese: 嘆きの湖にすむ怪物)","February 10, 2007 (2007-02-10)","October 18, 2010"
7,"""Sorceress Thaegan"" (Sorceress Thaegan Appears)Transliteration: ""Majo Tēgan Arawaru"" (Japanese: 魔女テーガン現る)","February 17, 2007 (2007-02-17)","October 19, 2010"
8,"""Tom's Curious Shop"" (Tom's Curious Shop)Transliteration: ""Tomu no Fushigi na Mise"" (Japanese: トムのふしぎな店)","February 24, 2007 (2007-02-24)","October 20, 2010"
9,"""Noradz the Clean"" (Clean Noradzeer!)Transliteration: ""Kurīn Churunai"" (Japanese: クリーンチュルナイ!)","March 3, 2007 (2007-03-03)","October 21, 2010"
10,"""Escape"" (Escape From Prison)Transliteration: ""Rōgoku kara no Dasshutsu"" (Japanese: 牢獄からの脱出)","March 10, 2007 (2007-03-10)","October 22, 2010"
11,"""Cross the River"" (Cross the Broad River)Transliteration: ""Habahirogawa wo Watare"" (Japanese: はばひろ川を渡れ)","March 17, 2007 (2007-03-17)","October 25, 2010"
12,"""The King of the Rats"" (The King of Rat City)Transliteration: ""Ratto Shiti no Ō"" (Japanese: ラット・シティの王)","March 24, 2007 (2007-03-24)","October 26, 2010"
13,"""Endon and Jarred"" (Endon and Jarred)Transliteration: ""Endon to Jādo"" (Japanese: エンドンとジャード)","March 31, 2007 (2007-03-31)","October 27, 2010"
14,"""The Stolen Gems"" (The Stolen Gems)Transliteration: ""Ubawareta Hōseki"" (Japanese: うばわれた宝石)","April 7, 2007 (2007-04-07)","October 28, 2010"
15,"""Good Luck! Bad Luck!"" (Good Luck? Bad Luck?)Transliteration: ""Un ga ii? Warui?"" (Japanese: 運がいい? わるい?)","April 14, 2007 (2007-04-14)","October 29, 2010"
16,"""The Rithmere Games"" (The Rithmete Games Tournament)Transliteration: ""Risumea Kyōgi Taikai"" (Japanese: リスメア競技大会)","April 21, 2007 (2007-04-21)","November 1, 2010"
17,"""Test of Endurance"" (Fight, Fight Lief!)Transliteration: ""Tatakae! Tatakae Rīfu"" (Japanese: 戦え! 戦えリーフ)","April 28, 2007 (2007-04-28)","November 2, 2010"
18,"""Jasmine vs. Doom"" (Jasmine and the Mysterious Man)Transliteration: ""Jasumin to Nazo no Otoko"" (Japanese: ジャスミンと謎の男)","May 5, 2007 (2007-05-05)","November 3, 2010"
19,"""The Boy from the Resistance"" (Boy of the Resistance)Transliteration: ""Rejisutansu no Shōnen"" (Japanese: レジスタンスの少年)","May 12, 2007 (2007-05-12)","November 4, 2010"
