category,subcategory,count,percentage,description
total_victims,all,49,100.00,Total number of victims
victim_type,stabbing,1,2.04,Victims of stabbing
victim_type,shooting,44,89.80,Victims of shooting
victim_type,other,4,8.16,Other/Unclassified victims
violent_crimes,total,45,100.00,Total stabbing and shooting victims
case_status,closed,17,37.78,Total closed cases (stabbing + shooting)
case_status,open,28,62.22,Total open cases (stabbing + shooting)
stabbing_status,closed,1,100.00,Closed stabbing cases
stabbing_status,open,0,0.00,Open stabbing cases
shooting_status,closed,16,36.36,Closed shooting cases
shooting_status,open,28,63.64,Open shooting cases
