Deltora Quest
First DVD cover
デルトラクエスト(Derutora Kuesuto)
Genre,"Adventure, fantasy[1]"
Anime television series
Directed by,Mitsuru Hongo
Music by,Kow Otani
Studio,"OLM, Inc."
Licensed by,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}AU: Madman EntertainmentNA: Cinedigm"
Original network,TXN (TV Aichi)
English network,"AU: ABC3, Cartoon NetworkUS: The Hub"
Original run,"January 6, 2007  –  March 29, 2008"
Episodes,65
Anime and manga portal
