Comparison of programming languages
General comparison Assignment Basic syntax Basic instructions Comments Control flow Foreach loops While loops For loops Do-while Exception handling Enumerated types Algebraic data types Generators Anonymous functions Conditional expressions Arrays Associative arrays Scope String operations String functions Higher-order functions Filter Fold Map Type systems Dependent types List comprehension Object-oriented programming Object-oriented constructors Operators Ternary conditional operator Null coalescing operators Safe navigation operators Modulo operators
"Evaluation strategy List of ""Hello World"" programs"
Comparison of individual languages ALGOL 58's influence on ALGOL 60 ALGOL 60: Comparisons with other languages ALGOL 68: Comparisons with other languages Compatibility of C and C++ Comparison of Pascal and Borland Delphi Comparison of Object Pascal and C Comparison of Pascal and C Comparison of Java and C++ Comparison of C# and Java Comparison of C# and Visual Basic .NET Comparison of Visual Basic and Visual Basic .NET
".mw-parser-output .navbar{display:inline;font-size:88%;font-weight:normal}.mw-parser-output .navbar-collapse{float:left;text-align:left}.mw-parser-output .navbar-boxtext{word-spacing:0}.mw-parser-output .navbar ul{display:inline-block;white-space:nowrap;line-height:inherit}.mw-parser-output .navbar-brackets::before{margin-right:-0.125em;content:""[ ""}.mw-parser-output .navbar-brackets::after{margin-left:-0.125em;content:"" ]""}.mw-parser-output .navbar li{word-spacing:-0.125em}.mw-parser-output .navbar a>span,.mw-parser-output .navbar a>abbr{text-decoration:inherit}.mw-parser-output .navbar-mini abbr{font-variant:small-caps;border-bottom:none;text-decoration:none;cursor:inherit}.mw-parser-output .navbar-ct-full{font-size:114%;margin:0 7em}.mw-parser-output .navbar-ct-mini{font-size:114%;margin:0 4em}html.skin-theme-clientpref-night .mw-parser-output .navbar li a abbr{color:var(--color-base)!important}@media(prefers-color-scheme:dark){html.skin-theme-clientpref-os .mw-parser-output .navbar li a abbr{color:var(--color-base)!important}}@media print{.mw-parser-output .navbar{display:none!important}} v t e"
"
"
Language,Original purpose,Imperative,Object-oriented,Functional,Procedural,Generic,Reflective,Other paradigms,Standardized
1C:Enterprise programming language,"Application , RAD , business, general , web , mobile",Yes,No,Yes,Yes,Yes,Yes,"Object-based , Prototype-based programming",No
ActionScript,"Application, client-side , web",Yes,Yes,Yes,Yes,No,No,prototype-based,"Yes 1999-2003, ActionScript 1.0 with ES3, ActionScript 2.0 with ES3 and partial ES4 draft, ActionScript 3.0 with ES4 draft , ActionScript 3.0 with E4X"
Ada,"Application, embedded , realtime , system",Yes,Yes &#91; 2 &#93;,No,Yes &#91; 3 &#93;,Yes &#91; 4 &#93;,No,"Concurrent , &#91; 5 &#93; distributed &#91; 6 &#93;","Yes 1983, 2005, 2012, ANSI, ISO, GOST 27831-88 &#91; 7 &#93;"
Aldor,"Highly domain-specific , symbolic computing",Yes,Yes,Yes,No,No,No,,No
ALGOL 58,Application,Yes,No,No,No,No,No,,No
ALGOL 60,Application,Yes,No,No,Yes,Yes,No,,"Yes 1960, IFIP WG 2.1 , ISO &#91; 8 &#93;"
ALGOL 68,Application,Yes,No,Yes,Yes,Yes,No,Concurrent,"Yes 1968, IFIP WG 2.1 , GOST 27974-88 , &#91; 9 &#93;"
Ateji PX,Parallel application,No,Yes,No,No,No,No,pi calculus,No
APL,"Application, data processing",Yes,Yes,Yes,Yes,Yes,Yes,"Array-oriented , tacit","Yes 1989, ISO"
Assembly language,General,Yes,No,No,No,No,No,"Any, syntax is usually highly specific, related to the target processor",Yes 1985 IEEE 694-1985 &#91; 10 &#93;
AutoHotkey,"GUI automation ( macros ), highly domain-specific",Yes,Yes &#91; 11 &#93;,No,Yes,No,No,,No
AutoIt,"GUI automation (macros), highly domain-specific",Yes,No,No,Yes,No,No,,No
Ballerina,"Integration, agile, server-side , general",Yes,Yes,Yes,Yes,No,No,"Concurrent, transactional, statically and strongly typed, diagrammatic–visual",De facto standard via Ballerina Language Specification &#91; 12 &#93;
Bash,"Shell , scripting",Yes,No,No,Yes,No,No,,Optionally POSIX.2 &#91; 13 &#93;
BASIC,"Application, education",Yes,No,No,Yes,No,No,,"Yes 1983, ANSI, ISO, ECMA"
BeanShell,"Application, scripting",Yes,Yes,Yes,No,No,Yes,,"No In progress, JCP &#91; 14 &#93;"
BLISS,System,No,No,No,Yes,No,No,,No
BlitzMax,"Application, game",Yes,Yes,No,Yes,No,Yes,,No
Boo,"Application, game scripting",No,Yes,No,No,No,No,,No
C,"Application, system, &#91; 15 &#93; general purpose, low-level operations",Yes,No,No,Yes,No,No,,"Yes 1989, ANSI C89, ISO/IEC C90, ISO/IEC C95, ISO/IEC C99, ISO/IEC C11, ISO/IEC C17, ISO/IEC C2x &#91; 16 &#93;"
C++,"Application, system",Yes,Yes,Yes,Yes,Yes,Yes,Concurrent,"Yes 1998, ISO/IEC C++98, ISO/IEC C++03, ISO/IEC C++11, ISO/IEC C++14, ISO/IEC C++17, ISO/IEC C++20, ISO/IEC C++23, ISO/IEC C++26 &#91; 17 &#93;"
C#,"Application, RAD, business, client-side, general, server-side, web, game programming",Yes,Yes,Yes &#91; 18 &#93;,Yes,Yes,Yes,"Concurrent, structured","Yes 2000, ECMA, ISO &#91; 19 &#93;"
Clarion,"General, business, web",Yes,Yes,Yes &#91; 20 &#93;,No,No,No,,Unknown
Clean,General,No,No,Yes,No,Yes,No,,No
Clojure,General,No,No,Yes,No,No,No,Concurrent,No
CLU,General,Yes,Yes,No,Yes,Yes,No,,No
COBOL,"Application, business",Yes,Yes,No,Yes,No,No,,"Yes 1968 ANSI X3.23, 1974, 1985; ISO/IEC 1989:1985, 2002, 2014, 2023"
Cobra,"Application, business, general, web",Yes,Yes,Yes,No,Yes,Yes,,No
ColdFusion (CFML),Web,No,Yes,No,Yes,No,No,,No
Common Lisp,General,Yes,Yes,Yes,Yes,Yes,Yes,"Extensible syntax, Array-oriented , syntactic macros , multiple dispatch , concurrent","Yes 1994, ANSI"
COMAL 80,Education,Yes,No,No,Yes,No,No,,No
Crystal,General purpose,Yes,Yes &#91; 21 &#93;,Yes,Yes,Yes &#91; 22 &#93;,No,Concurrent &#91; 23 &#93;,No
Curry,Application,No,No,Yes,No,Yes,No,"lazy evaluation , non-determinism",De facto standard via Curry Language Report
Cython,"Application, general, numerical computing",Yes,Yes,Yes,No,No,Yes,Aspect-oriented,No
D,"Application, system",Yes,Yes,Yes,Yes,Yes,Yes,"Generative, concurrent",No
Dart,"Application, web, server-side, mobile, IoT",Yes,Yes,Yes,Yes,Yes,No,Structured,Yes ECMA-408 standard
"Delphi , Object Pascal",General purpose,Yes,Yes,Yes,Yes,Yes,Yes,,Unknown
Dylan,Application,No,Yes,Yes,No,No,No,,No
Eiffel,"General, application, business, client-side, server-side, web (EWF)",Yes,Yes,Yes &#91; 24 &#93; &#91; 25 &#93;,No,Yes,Yes Erl-G,"Distributed SCOOP , Void-safe","Yes 2005, ECMA, ISO &#91; 26 &#93;"
ELAN,Education,Yes,No,No,Yes,No,No,"Structured , stepwise refinement",No
Elixir,"Application, distributed",No,No,Yes,No,No,Yes,"Concurrent, distributed",No
Erlang,"Application, distributed",No,No,Yes,No,No,Yes,"Concurrent, distributed",No
Euphoria,Application,No,No,No,Yes,No,Yes,,No
Factor,General,Yes,No,Can be viewed as,No,Yes,Yes,Stack-oriented,No
FP,,No,No,Yes,No,No,No,,No
F#,Application,Yes,Yes,Yes,Yes,Yes,Yes,,No
Forth,General,Yes,No,No,Yes,No,Yes,Stack-oriented,"Yes 1994, ANSI"
Fortran,"Application, numerical computing",Yes,Yes,Yes,Yes,Yes,No,"Array-based, vectorized, concurrent, native distributed/shared-memory parallelism","Yes 1966, ANSI 66, ANSI 77, MIL-STD-1753, ISO 90, ISO 95, ISO 2003, ISO/IEC 1539-1:2010 (2008), ISO/IEC JTC1/SC22/WG5 N2145 (2018)"
FreeBASIC,"Application, numerical computing",Yes,Yes,No,Yes,Yes,No,,No
Gambas,Application,Yes,Yes,No,No,No,No,,No
Game Maker Language,"Application, game programming",Yes,Yes,No,No,No,No,,No
GLBasic,"Application, games",Yes,Yes,No,Yes,No,No,Simple object-oriented,No
Go,"Application, web, server-side",Yes,Can be viewed as &#91; 27 &#93;,Can be viewed as &#91; 28 &#93;,Yes,Yes,Yes,Concurrent,De facto standard via Go Language Specification
Gosu,"Application, general, scripting, web",Yes,Yes,No,No,Yes,Yes,,No
GraphTalk,Application,No,Yes,No,No,No,No,Logic,No
Groovy,"Application, general, scripting, web",Yes,Yes,Yes,Yes,Yes,Yes,Meta-programming,"No In progress, JCP &#91; 29 &#93;"
Harbour,"Application, business, data processing, general, web",Yes,Yes,Yes,Yes,Yes,Yes,Declarative,No
Haskell,Application,No,No,Yes,No,Yes,No,Lazy evaluation,"Yes 2010, Haskell 2010 &#91; 30 &#93;"
Haxe,"Application, general, web",Yes,Yes,Yes,No,Yes,Yes,,No
HyperTalk,"Application, RAD, general",Yes,No,No,Yes,No,Yes,Weakly typed,Unknown
Io,"Application, host-driven scripting",Yes,Yes,No,No,No,No,,No
IPL,General,No,No,Yes,No,No,No,,Unknown
ISLISP,General,Yes,Yes,Yes,No,Yes,No,,"Yes 1997, 2007, ISO"
J,"Application, data processing",Yes,Yes,Yes,Yes,Yes,Yes,"Array-oriented, function-level , tacit, concurrent",No
JADE,"Application, distributed",Yes,Yes,No,No,No,No,,No
Java,"Application, business, client-side, general, mobile development, server-side, web",Yes,Yes,Yes,Yes,Yes,Yes,Concurrent,De facto standard via Java Language Specification
JavaScript,"Client-side, server-side, web",Yes,Yes,Yes,Yes,No,Yes,prototype-based,Yes ECMA-262 standard
Joy,Research,No,No,Yes,No,No,No,Stack-oriented,No
jq,"""awk for JSON""",No,No,Yes,No,No,No,"Tacit , Backtracking , Streaming , PEG",No
Julia,"General, technical computing",Yes,Can be viewed as &#91; 31 &#93; &#91; 32 &#93;,Yes,Yes,Yes,Yes,"Multiple dispatch, meta, scalar and array-oriented, parallel, concurrent, distributed (""cloud"")",De facto standard via Julia Documentation &#91; 33 &#93;
K,"Data processing, business",No,No,No,No,No,No,"Array-oriented, tacit",Unknown
Kotlin,"Application, general, mobile development, server-side, client-side, web, scripting &#91; 34 &#93; , domain-specific &#91; 35 &#93;",Yes,Yes,Yes,Yes,Yes,Yes &#91; 36 &#93;,Concurrent &#91; 37 &#93;,De facto standard via Kotlin Language Specification
Ksh,"Shell , scripting",Yes,Yes,No,Yes,No,No,"Several variants, custom programmable, dynamic loadable modules",Optionally POSIX.2 &#91; 13 &#93;
LabVIEW (G),"Application, industrial instrumentation-automation",Yes,Yes,Yes,No,No,No,"Dataflow , visual",No
Lisp,General,No,No,Yes,No,No,No,,Unknown
LiveCode,"Application, RAD, general",Yes,Yes,No,Yes,No,Yes,Weakly typed,No
Logtalk,"Artificial intelligence, application",No,Yes,No,No,No,Yes,Logic,No
Linden Scripting Language (LSL),Virtual worlds content scripting and animation,Yes,No,No,Yes,No,No,Scripts exist in in-world objects,De facto reference is the Second Life implementation of LSL . &#91; 38 &#93;
Lua,"Application, embedded scripting",Yes,Yes &#91; 39 &#93;,Yes,Yes,No,Yes,"Aspect-oriented, prototype-based",No &#91; 40 &#93;
Maple,"Symbolic computation, numerical computing",Yes,Yes,Yes,Yes,No,No,Distributed,No
Mathematica,Symbolic language,Yes,Yes,Yes,Yes,Yes,Yes,"Logic, distributed",No
MATLAB,"Highly domain-specific, numerical computing",Yes,Yes,No,Yes,No,No,,No
Modula-2,"Application, system",Yes,No,No,No,Yes,No,,"Yes 1996, ISO &#91; 41 &#93;"
Modula-3,Application,Yes,Yes,No,No,Yes,No,,No
MUMPS (M),"General, application, databases",Yes,Approved for next Standard,No,Yes,Partially Thru Indirection and Xecute,Yes,"Concurrent , multi-user , NoSQL , transaction processing","Yes 1977 ANSI, 1995, ISO 2020"
