Location,Population,% ofworld,Date,Source (official or fromthe United Nations),Notes
World,"8,232,000,000",100%,13 Jun 2025,UN projection[1][3],
India,"1,417,492,000",17.3%,1 Jul 2025,Official projection[4],[b]
China,"1,408,280,000",17.2%,31 Dec 2024,Official estimate[5],[c]
United States,"340,110,988",4.1%,1 Jul 2024,Official estimate[6],[d]
Indonesia,"284,438,782",3.5%,30 Jun 2025,National annual projection[7],
Pakistan,"241,499,431",2.9%,1 Mar 2023,2023 census result[8],[e]
Nigeria,"223,800,000",2.7%,1 Jul 2023,Official projection[9],
Brazil,"213,421,037",2.6%,1 Jul 2025,Official estimate[10],
Bangladesh,"169,828,911",2.1%,14 Jun 2022,2022 census result[11],[f]
Russia,"146,028,325",1.8%,1 Jan 2025,Official estimate[13],[g]
Mexico,"130,575,786",1.6%,30 Jun 2025,National quarterly estimate[14],
Japan,"123,300,000",1.5%,1 Aug 2025,Monthly national estimate[15],
Philippines,"114,123,600",1.4%,1 Jul 2025,Official projection[16],
Democratic Republic of the Congo,"112,832,000",1.4%,1 Jul 2025,UN projection[17],
Ethiopia,"111,652,998",1.4%,1 Jul 2025,National annual projection[18],
Egypt,"107,271,260",1.3%,1 Jan 2025,Official estimate[19],
Vietnam,"101,343,800",1.2%,31 Dec 2024,Official estimate[20],
Iran,"85,961,000",1.0%,20 Mar 2024,Official estimate[21],
Turkey,"85,664,944",1.0%,31 Dec 2024,Official estimate[22],
Germany,"83,517,030",1.0%,31 Mar 2025,National quarterly estimate[23],
France,"68,688,000",0.8%,1 Aug 2025,Monthly national estimate[24],[h]
United Kingdom,"68,265,209",0.8%,1 Jul 2023,Official estimate[25],[i]
Tanzania,"68,153,004",0.8%,1 Jul 2025,Official projection[26],[j]
Thailand,"65,859,640",0.8%,31 Jul 2025,Monthly national estimate[27],
South Africa,"63,100,945",0.8%,30 Jun 2025,Official estimate[28],
Italy,"58,919,230",0.7%,30 Jun 2025,Monthly national estimate[29],
Kenya,"53,330,978",0.7%,1 Jul 2025,Official projection[30],
Colombia,"53,057,212",0.6%,1 Jan 2025,Official projection[31],
Sudan,"51,662,000",0.6%,1 Jul 2025,UN projection[32],
Myanmar,"51,316,756",0.6%,15 Oct 2024,Provisional 2024 census result[33],[k]
South Korea,"51,159,889",0.6%,31 Jul 2025,Monthly national estimate[35],
Spain,"49,315,949",0.6%,1 Jul 2025,National quarterly estimate[36],
Algeria,"47,400,000",0.6%,1 Jan 2025,National annual projection[37],
Argentina,"46,735,004",0.6%,26 May 2025,National annual projection[38],
Iraq,"46,118,793",0.6%,24 Feb 2025,2024 census result[39],
Uganda,"45,905,417",0.6%,10 May 2024,2024 census result[40],
Afghanistan,"43,844,000",0.5%,1 Jul 2025,UN projection[41][42] (see note),[l]
Canada,"41,548,787",0.5%,1 Apr 2025,National quarterly estimate[49],
Uzbekistan,"37,859,698",0.5%,1 Jul 2025,Official estimate[50],
Poland,"37,401,000",0.5%,30 Jun 2025,Monthly national estimate[51],
Morocco,"36,828,330",0.4%,1 Sep 2024,2024 census result[52],[m]
Angola,"36,170,961",0.4%,1 Jul 2025,National annual projection[53],
Saudi Arabia,"35,300,280",0.4%,1 Jul 2024,Official estimate[54],
Peru,"34,350,244",0.4%,1 Jul 2025,National annual projection[55],
Malaysia,"34,231,700",0.4%,30 Jun 2025,National quarterly estimate[56],
Mozambique,"34,090,466",0.4%,1 Jul 2025,National annual projection[57],
Ghana,"33,742,380",0.4%,1 Jul 2025,National annual projection[58],
Ukraine,"32,862,000",0.4%,1 Apr 2025,IMF estimate[59],[n]
Yemen,"32,684,503",0.4%,1 Jul 2023,Official estimate[60],
Madagascar,"31,727,042",0.4%,1 Jul 2025,National annual projection[61],
Nepal,"29,911,840",0.4%,2025,National annual projection[62],
Cameroon,"29,442,327",0.4%,1 Jul 2025,National annual projection[63],
Ivory Coast,"29,389,150",0.4%,14 Dec 2021,2021 census result[64],
Venezuela,"28,517,000",0.3%,1 Jul 2025,UN projection[65],
Australia,"27,536,874",0.3%,31 Mar 2025,Official projection[66],[o]
Niger,"26,312,034",0.3%,1 Jul 2024,National annual projection[67],
North Korea,"25,950,000",0.3%,1 Jul 2024,National annual projection[68],
